Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
UoM&MMU,en,1,0.6964,0.4107,0.5536,0.5714,0.4315,0.3234,0.202,0.8393,0.8571,0.8929
UoM&MMU,en,2,0.3393,0.1607,0.2857,0.3036,0.2252,0.1512,0.0962,0.5714,0.6607,0.75
UoM&MMU,en,3,0.5714,0.3393,0.375,0.4464,0.3383,0.2473,0.1469,0.6964,0.7679,0.875
UoM&MMU,es,1,0.3214,0.1071,0.2857,0.3571,0.2123,0.1531,0.0899,0.5893,0.6786,0.7143
UoM&MMU,es,2,0.3571,0.1964,0.2679,0.3214,0.2391,0.1699,0.0979,0.5714,0.625,0.7143
UoM&MMU,es,3,0.3571,0.1607,0.25,0.2857,0.2093,0.1451,0.0839,0.5,0.5893,0.6964
UoM&MMU,pt,1,0.0893,0.0179,0.0357,0.0536,0.0635,0.0576,0.0344,0.1786,0.2321,0.3571
UoM&MMU,pt,2,0.1071,0.0357,0.0536,0.0714,0.0704,0.0553,0.0338,0.1964,0.25,0.2857
UoM&MMU,pt,3,0.0893,0.0357,0.0357,0.0893,0.0784,0.0604,0.0348,0.25,0.2857,0.3214
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
